Generation Fitness Majority
292 5040 0.43209876543209874
293 5040 0.43209876543209874
294 5040 0.43209876543209874
295 5040 0.43209876543209874
296 5040 0.43209876543209874
297 5040 0.43209876543209874
298 5040 0.43209876543209874
299 5040 0.43209876543209874
300 5040 0.43209876543209874
301 5040 0.43209876543209874
302 5040 0.43209876543209874
303 5040 0.43209876543209874
304 5040 0.43209876543209874
305 5040 0.43209876543209874
306 5040 0.43209876543209874
307 5040 0.43209876543209874
308 5040 0.43209876543209874
309 5040 0.43209876543209874
310 5040 0.43209876543209874
311 5040 0.43209876543209874
312 5040 0.43209876543209874
313 5040 0.43209876543209874
314 5040 0.43209876543209874
315 5040 0.43209876543209874
316 5040 0.43209876543209874
317 6528 0.4279835390946502
318 6528 0.4279835390946502
319 6528 0.4279835390946502
320 6528 0.4279835390946502
321 6528 0.4279835390946502
322 6528 0.4279835390946502
323 6528 0.4279835390946502
324 6528 0.4279835390946502
325 6528 0.4279835390946502
326 6528 0.4279835390946502
327 6528 0.4279835390946502
328 6528 0.4279835390946502
329 6528 0.4279835390946502
330 6528 0.4279835390946502
331 6528 0.4279835390946502
332 6528 0.4279835390946502
333 6528 0.4279835390946502
334 6528 0.4279835390946502
335 6528 0.4279835390946502
336 6528 0.4279835390946502
337 6528 0.4279835390946502
338 6528 0.4279835390946502
339 6528 0.4279835390946502
340 6528 0.4279835390946502
341 6528 0.4279835390946502
342 6528 0.4279835390946502
343 6528 0.4279835390946502
344 6528 0.4279835390946502
345 7012 0.448559670781893
346 7012 0.448559670781893
347 7012 0.448559670781893
348 7012 0.448559670781893
349 7012 0.448559670781893
350 7012 0.448559670781893
351 7012 0.448559670781893
352 7012 0.448559670781893
353 7012 0.448559670781893
354 7012 0.448559670781893
355 7012 0.448559670781893
356 7012 0.448559670781893
357 7012 0.448559670781893
358 7012 0.448559670781893
359 7012 0.448559670781893
360 7012 0.448559670781893
361 7012 0.448559670781893
362 7012 0.448559670781893
363 7012 0.448559670781893
364 7012 0.448559670781893
365 7012 0.448559670781893
366 7012 0.448559670781893
367 7012 0.448559670781893
368 7012 0.448559670781893
369 7012 0.448559670781893
370 7012 0.448559670781893
371 7012 0.448559670781893
372 7012 0.448559670781893
373 7012 0.448559670781893
374 7012 0.448559670781893
375 7012 0.448559670781893
376 7012 0.448559670781893
377 7012 0.448559670781893
