Generation Max Avg Min
631 6768 3131.2 2 
632 6768 3314.3 1 
633 6768 3520.3 2 
634 6768 3422.1 2 
635 6768 4229.2 4 
636 6768 2934.7 2 
637 6768 3109.8 2 
638 6768 2562.2 2 
639 6768 4005.0 4 
640 6768 3638.8 4 
641 6768 3384.6 2 
642 6768 3494.5 1 
643 6768 3726.5 2 
644 6768 3831.6 12 
645 6768 3725.5 2 
646 6768 3442.9 2 
647 6768 3475.0 2 
648 6768 4019.7 2 
649 6768 3928.9 1 
650 6768 3039.5 2 
651 6768 3071.0 2 
652 6768 3430.9 2 
653 6768 3523.4 52 
654 6768 3596.8 344 
655 6768 3836.6 2 
656 6768 3769.6 4 
657 6768 3463.6 2 
658 6768 3730.5 1 
659 6768 3394.2 2 
660 6768 3801.9 1 
661 6768 3972.9 4 
662 6768 3345.6 2 
663 6768 3746.4 2 
664 6768 3114.8 2 
665 6768 3771.0 2 
666 6768 3534.0 4 
667 6768 3736.8 8 
668 6768 4151.8 2 
669 6768 3353.8 2 
670 6768 3114.9 2 
671 6768 3875.8 2 
672 6768 3898.4 2 
673 6768 3778.4 2 
674 6768 3437.4 2 
675 6768 3143.3 2 
676 6768 3488.3 2 
677 6768 3020.2 2 
678 6768 3619.8 12 
679 6768 3119.4 2 
680 6768 3649.2 376 
681 6768 3962.2 4 
682 6768 3240.6 2 
683 6768 3774.0 2 
684 6768 3724.6 2 
685 6768 3863.4 2 
686 6768 2797.9 2 
687 6768 3083.2 2 
688 6768 2770.8 2 
689 6768 3421.2 2 
690 6768 3338.6 2 
691 6768 3746.0 4 
692 6768 3891.0 2 
693 6768 3937.6 12 
694 6768 3758.6 2 
695 6768 3892.2 4 
696 6768 3739.5 9 
697 6768 3781.8 1 
698 6768 3975.2 4 
699 6768 4234.4 656 
700 6768 4089.2 2 
701 6768 3809.8 2 
702 6768 3597.6 2 
703 6768 2624.0 2 
704 6768 2827.0 2 
705 6768 3376.8 68 
706 6768 3356.0 2 
707 6768 3747.4 2 
708 6768 3882.8 2 
709 6768 3336.4 2 
710 6768 3237.4 2 
711 6768 4088.4 12 
712 6768 3924.5 1 
713 6768 3728.1 2 
714 6768 3889.0 2 
715 6768 3901.4 2 
716 6768 3165.2 2 
717 6768 3282.8 2 
718 6768 3001.2 2 
719 6768 3653.4 2 
720 6768 3804.4 2 
721 6768 3426.6 2 
722 6768 4149.8 2 
723 6768 2854.4 2 
724 6768 3285.1 1 
725 6768 2874.8 6 
726 6768 3329.6 4 
727 6768 2962.1 2 
728 6768 3955.6 476 
729 6768 2884.1 2 
730 6768 3408.0 2 
731 6768 3830.4 28 
732 6768 3389.9 2 
733 6768 3403.0 2 
734 6768 3806.8 2 
735 6768 3795.7 2 
736 6768 3414.0 2 
737 6768 3957.6 4 
738 6768 3762.1 2 
739 6768 3783.5 2 
740 6768 3923.6 2 
741 6768 3733.0 2 
742 6768 3868.9 4 
743 6768 3901.6 4 
744 6768 3744.4 20 
745 6768 3771.1 1 
746 6768 3595.5 1 
747 6768 3130.1 1 
748 6768 3969.5 9 
749 6768 3871.3 2 
750 6768 3477.2 2 
751 6768 3820.2 2 
752 6768 3041.8 2 
753 6768 3090.8 10 
754 6768 3252.6 2 
755 6768 2994.4 2 
756 6768 3403.4 2 
757 6768 3174.5 1 
758 6768 2996.6 2 
759 6768 3080.3 2 
760 6768 3294.2 2 
761 6768 3611.0 4 
762 6768 3921.8 6 
763 6768 3141.6 2 
764 6768 3811.8 2 
765 6768 3632.8 2 
766 6768 3396.4 2 
767 6768 3412.6 2 
768 6768 2757.6 2 
769 6768 3375.2 4 
770 6768 3234.2 2 
771 6768 2877.3 2 
772 6768 2859.9 1 
773 6768 2851.6 2 
774 6768 3808.9 87 
775 6768 3916.2 2 
776 6768 2859.4 2 
777 6768 2768.2 2 
778 6768 4296.8 1236 
779 6768 3690.6 2 
780 6768 3982.0 2 
781 6768 4004.6 2 
782 6768 3318.3 2 
783 6768 3630.7 5 
784 6768 3606.4 4 
785 6768 3003.0 6 
786 6768 3561.4 2 
787 6768 4033.8 2 
788 6768 3767.3 2 
789 6768 3851.8 2 
790 6768 3512.2 8 
791 6768 3388.8 2 
792 6768 3724.1 1 
793 6768 3861.7 4 
794 6768 3842.8 2 
795 6768 3558.0 12 
796 6768 3229.8 2 
797 6768 4017.0 24 
798 6768 2612.5 1 
799 6768 3257.4 44 
800 6768 3403.7 2 
801 6768 2879.0 4 
802 6768 2792.2 2 
803 6768 3124.5 9 
804 6768 3650.2 2 
805 6768 3194.6 2 
806 6768 3459.9 6 
